calendar_year,month,tons,date,fiscal_year,30_waste_est(ton),2015_GHG_est,2020_GHG_est,,Date,parent,food,Percentage,GHG_estimation,,Date,parent,food,Percentage,GHG_estimation
2019,1,15.75,2019-1,2019,17.21664,35.49190909,25.0779375,,2015-10,Grain,"Rice (CA, USA)",13.9,2.882,,2020-10,Grain,"Rice (CA, USA)",20.8,2.882
2019,2,19.98,2019-2,2019,17.21664,45.02402182,31.813155,,2015-10,Fruit,"Apples (Conventional CA, USA)",13.9,0.77,,2020-10,Fruit,Apples ,15.2,0.77
2019,3,20.85,2019-3,2019,17.21664,46.98452727,33.1984125,,2015-10,Vegetables,Broccoli ,19,0.88,,2020-10,Vegetables,Broccoli ,21.3,0.88
2019,4,27.31,2019-4,2019,17.21664,61.54184364,43.4843475,,2015-10,Dairy,milk (2% MF),19.1,1.298,,2020-10,Dairy,milk (2% MF),19.1,1.298
2019,5,26.67,2019-5,2019,17.21664,60.09963273,42.4653075,,2015-10,"Meat, poultry, fish",Beef (Pasture-fed),2.3,7.72,,2020-10,Eggs,"Eggs (free-range, commercial ration)",2.1,2.904
2019,6,14.94,2019-6,2019,17.21664,33.66661091,23.788215,,2015-10,"Meat, poultry, fish",Chicken (free-range),6.9,2.78,,2020-10,Tree Nuts and peanuts,"Almonds (CA, USA)",1.4,2.42
2019,7,6.3,2019-7,2020,17.21664,14.19676364,10.031175,,2015-10,"Meat, poultry, fish",Alantic Salmon (farmed),2.3,1.55,,2020-10,Added sugar/sweeteners,Sugarcane (Brazil),12.6,0.814
2019,8,5.95,2019-8,2020,17.21664,13.40805455,9.4738875,,2015-10,Eggs,"Eggs (free-range, commercial ration)",2.1,2.904,,2020-10,Added Fats and oils,Corn Oil (Midwest),7.5,0.77
2019,9,18.27,2019-9,2020,17.21664,41.17061455,29.0904075,,2015-10,Tree Nuts and peanuts,"Almonds (CA, USA)",0.4,2.42,,,,,,1.59225
2019,10,15.03,2019-10,2020,17.21664,33.86942182,23.9315175,,2015-10,Added sugar/sweeteners,Sugarcane (Brazil),12.6,0.814,,,,,,
2019,11,17.83,2019-11,2020,17.21664,40.17909455,28.3898175,,2015-10,Added Fats and oils,Corn Oil (Midwest),7.5,0.77,,,,,,
2019,12,0,2019-12,2020,17.21664,0,0,,,,,,2.253454545,,,,,,
2018,1,5.15,2018-1,2018,17.21664,11.60529091,8.2000875,,,,,,,,,,,,
2018,2,10.32,2018-2,2018,17.21664,23.25565091,16.43202,,,,,,,,,,,,
2018,3,12.35,2018-3,2018,17.21664,27.83016364,19.6642875,,,,,,,,,,,,
2018,4,11.48,2018-4,2018,17.21664,25.86965818,18.27903,,,,,,,,,,,,
2018,5,8.28,2018-5,2018,17.21664,18.65860364,13.18383,,,,,,,,,,,,
2018,6,1.7,2018-6,2018,17.21664,3.830872727,2.706825,,,,,,,,,,,,
2018,7,6.74,2018-7,2019,17.21664,15.18828364,10.731765,,,,,,,,,,,,
2018,8,7.33,2018-8,2019,17.21664,16.51782182,11.6711925,,,,,,,,,,,,
2018,9,10.1,2018-9,2019,17.21664,22.75989091,16.081725,,,,,,,,,,,,
2018,10,14.81,2018-10,2019,17.21664,33.37366182,23.5812225,,,,,,,,,,,,
2018,11,9.73,2018-11,2019,17.21664,21.92611273,15.4925925,,,,,,,,,,,,
2018,12,7.29,2018-12,2019,17.21664,16.42768364,11.6075025,,,,,,,,,,,,
2017,1,14,2017-1,2017,17.21664,31.54836364,22.2915,,,,,,,,,,,,
2017,2,13,2017-2,2017,17.21664,29.29490909,20.69925,,,,,,,,,,,,
2017,3,7.16,2017-3,2017,17.21664,16.13473455,11.40051,,,,,,,,,,,,
2017,4,5.99,2017-4,2017,17.21664,13.49819273,9.5375775,,,,,,,,,,,,
2017,5,9.19,2017-5,2017,17.21664,20.70924727,14.6327775,,,,,,,,,,,,
2017,6,11,2017-6,2017,17.21664,24.788,17.51475,,,,,,,,,,,,
2017,7,6.5,2017-7,2018,17.21664,14.64745455,10.349625,,,,,,,,,,,,
2017,8,5.7,2017-8,2018,17.21664,12.84469091,9.075825,,,,,,,,,,,,
2017,9,10.4,2017-9,2018,17.21664,23.43592727,16.5594,,,,,,,,,,,,
2017,10,4.95,2017-10,2018,17.21664,11.1546,7.8816375,,,,,,,,,,,,
2017,11,6.81,2017-11,2018,17.21664,15.34602545,10.8432225,,,,,,,,,,,,
2017,12,6.74,2017-12,2018,17.21664,15.18828364,10.731765,,,,,,,,,,,,
2016,1,9.94,2016-1,2016,17.21664,22.39933818,15.826965,,,,,,,,,,,,
2016,2,11.76,2016-2,2016,17.21664,26.50062545,18.72486,,,,,,,,,,,,
2016,3,17.9,2016-3,2016,17.21664,40.33683636,28.501275,,,,,,,,,,,,
2016,4,17.36,2016-4,2016,17.21664,39.11997091,27.64146,,,,,,,,,,,,
2016,5,17.6,2016-5,2016,17.21664,39.6608,28.0236,,,,,,,,,,,,
2016,6,16.01,2016-6,2016,17.21664,36.07780727,25.4919225,,,,,,,,,,,,
2016,7,15.98,2016-7,2017,17.21664,36.01020364,25.444155,,,,,,,,,,,,
2016,8,11.14,2016-8,2017,17.21664,25.10348364,17.737665,,,,,,,,,,,,
2016,9,12.23,2016-9,2017,17.21664,27.55974909,19.4732175,,,,,,,,,,,,
2016,10,10,2016-10,2017,17.21664,22.53454545,15.9225,,,,,,,,,,,,
2016,11,21,2016-11,2017,17.21664,47.32254545,33.43725,,,,,,,,,,,,
2016,12,17.56,2016-12,2017,17.21664,39.57066182,27.95991,,,,,,,,,,,,
2015,1,19.81,2015-1,2015,17.21664,44.64093455,31.5424725,,,,,,,,,,,,
2015,2,13.26,2015-2,2015,17.21664,29.88080727,21.113235,,,,,,,,,,,,
2015,3,18.46,2015-3,2015,17.21664,41.59877091,29.392935,,,,,,,,,,,,
2015,4,21.54,2015-4,2015,17.21664,48.53941091,34.297065,,,,,,,,,,,,
2015,5,20.79,2015-5,2015,17.21664,46.84932,33.1028775,,,,,,,,,,,,
2015,6,13.83,2015-6,2015,17.21664,31.16527636,22.0208175,,,,,,,,,,,,
2015,7,12.02,2015-7,2016,17.21664,27.08652364,19.138845,,,,,,,,,,,,
2015,8,13.24,2015-8,2016,17.21664,29.83573818,21.08139,,,,,,,,,,,,
2015,9,20.68,2015-9,2016,17.21664,46.60144,32.92773,,,,,,,,,,,,
2015,10,23.98,2015-10,2016,17.21664,54.03784,38.182155,,,,,,,,,,,,
2015,11,20.99,2015-11,2016,17.21664,47.30001091,33.4213275,,,,,,,,,,,,
2015,12,17.85,2015-12,2016,17.21664,40.22416364,28.4216625,,,,,,,,,,,,
2014,1,9.56,2014-1,2014,17.21664,21.54302545,15.22191,,,,,,,,,,,,
2014,2,11.77,2014-2,2014,17.21664,26.52316,18.7407825,,,,,,,,,,,,
2014,3,12.56,2014-3,2014,17.21664,28.30338909,19.99866,,,,,,,,,,,,
2014,4,13.84,2014-4,2014,17.21664,31.18781091,22.03674,,,,,,,,,,,,
2014,5,12.99,2014-5,2014,17.21664,29.27237455,20.6833275,,,,,,,,,,,,
2014,6,12.04,2014-6,2014,17.21664,27.13159273,19.17069,,,,,,,,,,,,
2014,7,13.63,2014-7,2015,17.21664,30.71458545,21.7023675,,,,,,,,,,,,
2014,8,24.08,2014-8,2015,17.21664,54.26318545,38.34138,,,,,,,,,,,,
2014,9,28.69,2014-9,2015,17.21664,64.65161091,45.6816525,,,,,,,,,,,,
2014,10,25.08,2014-10,2015,17.21664,56.51664,39.93363,,,,,,,,,,,,
2014,11,16.02,2014-11,2015,17.21664,36.10034182,25.507845,,,,,,,,,,,,
2014,12,14.34,2014-12,2015,17.21664,32.31453818,22.832865,,,,,,,,,,,,
2013,1,9.98,2013-1,2013,17.21664,22.48947636,15.890655,,,,,,,,,,,,
2013,2,14.24,2013-2,2013,17.21664,32.08919273,22.67364,,,,,,,,,,,,
2013,3,17.85,2013-3,2013,17.21664,40.22416364,28.4216625,,,,,,,,,,,,
2013,4,17.14,2013-4,2013,17.21664,38.62421091,27.291165,,,,,,,,,,,,
2013,5,18.16,2013-5,2013,17.21664,40.92273455,28.91526,,,,,,,,,,,,
2013,6,11.26,2013-6,2013,17.21664,25.37389818,17.928735,,,,,,,,,,,,
2013,7,9.48,2013-7,2014,17.21664,21.36274909,15.09453,,,,,,,,,,,,
2013,8,8.91,2013-8,2014,17.21664,20.07828,14.1869475,,,,,,,,,,,,
